Question id,Question,Option 1,Option 2,Option 3,Option 4,Correct Option,Generated Option,Truth
43,Tuberculosis is:,a. Long term disease (chronic),b. Non-contagious disease,c. Acute disease,d. Urgent disease,a,a,Right
44,In which category will you keep electronic wastes and plastics?,a. Non-biodegradable,b. Biodegradable,c. In both (a & b) Categories,d. Not in both (a & b) Categories,a,c,Wrong
45,Hybridization method is adopted for:,a. Prevention of plants from pests,b. More production of eggs,c. Development of new irrigation methods,d. Development of species of desired characters,d,d,Right
46,Main objective of family planning is:,a. Keep control on fertility rate,b. Proper gap between two child,c. Healthy mother and child,d. All of the above,d,d,Right
47,‘World ozone day’ is celebrated on:,a. 01 December,b. 16 September,c. 07 April,d. 05 June,b,c,Wrong
48,Which one of the following organism whose have characters of animal and plants both:,a. Euglena,b. Amoeba,c. Algae,d. Mushroom,a,a,Right
49,Identify the unmatched pairs:,a. Trypsin – Pancreas,b. Amylase – Saliva,c. Bile – Liver,d. Pepsin – Esophagus,d,c,Wrong
50,The wings of a housefly and the wings of a sparrow are an example of:,a. Analogous organ,b. Vestigial organ,c. Respiratory organ,d. Homologous organ,a,d,Wrong
51,The brain is responsible for:,a. Thinking,b. Regulating the heartbeat,c. Balancing the body,d. All of the above,d,d,Right
52,"If α and β are the zeros of the polynomial f(x) = x2 – 5x + k such that α – β =1, then the value of k is",a. 6,b. 2,c. 3,d. 0,a,b,Wrong
53,The difference of the squares of two natural numbers is 101  The sum of their squares is equal to:,a. 5000,b. 5100,c. 5101,d. 5102,c,c,Right
54,Prashant has to pay Rs  482 for 19 apples and 11 guavas  If he would have exchanged the number of apples and guavas purchased then he would have paid Rs  64 less  Find how much more amount he has to pay to purchase one apple than one guava?,a. Rs. 7,b. Rs. 8,c. Rs. 11,d. Rs. 13,b,d,Wrong
55,"In a right angled triangle the hypotenuse is to be 1 cm longer than the base and 2 cm longer than the altitude, then the perimeter of the triangle is:",a. 24 cm,b. 20 cm,c. 12 cm,d. 10 cm,c,a,Wrong
56,"If x% of y is equal to 1% of z, y% of z is equal to 1%, of x and z% of x is equal to 1% of y then the value of xy + yz + zx is:",a. 1,b. 2,c. 3,d. 4,c,c,Right
57,A tower is 100 √3m high  The angle of elevation of its top from a point 100 m away from its foot is:,a. 60o,b. 45o,c. 30o,d. 22 ½ o,a,d,Wrong
58,Two dice are thrown at the same time  Then the probability of getting the total of at least 8 is:,a. 5/6,b. 5/12,c. 5/18,d. 5/36,b,a. 5/6,Wrong
59,"If the coordinate of two opposite vertices of square are (a, b) and (b, a) then the area of the square is:",a. (a+b)2,b. 2(b+a)2,c. (a-b)2,d. 2(b-a)2,c,a,Wrong
60,The ratio of the volume of the cube to that of a sphere which exactly fits inside the cube is:,a. 6 : 𝜋,b. 𝜋 : 6,c. 12 : 𝜋,d. 𝜋 : 12,a,a,Right
61,If any polynomial f(x) is divided by (x2 – 16) then remainder is (5x + 3)  If it is divided by (x + 4) then the remainder will be:,a. 17,b. -17,c. 23,d. -23,b,a,Wrong
62,12 workers can build a wall in 9 days working 8 hours per day  In how many days 24 workers can build that wall working 6 hours per day?,a. 24,b. 12,c. 9,d. 6,d,d,Right
63,The ratio of medians of two similar triangles is 3 : 4  Then the ratio of their areas will be:,a. 4 : 3,b. 3 : 4,c. 16 : 9,d. 9 :16,d,c,Wrong
64,"If 69 5 is the mean of 72, 70, x, 62, 50, 71, 90, 64, 58 and 82 then the value of x will be:",a. 70,b. 72,c. 74,d. 76,d,c,Wrong
65,In the given figure ABC is a right angled triangle with AB = 12 cm and AC = 13 cm  A circle with center O has been inscribed inside the triangle  If the radius is r then the value of r will be:,a. 1 cm,b. 1.5 cm,c. 2 cm,d. 2.5 cm,c,c,Right
66,When was the quit India movement?,a. 1930,b. 1935,c. 1942,d. 1943,c,c,Right
67,Who is called Gandhi of Chhattisgarh?,a. Pt. Ravishankar Shukla,b. Veer Narayan Singh,c. Pt. Sundarlal Sharma,d. Hanuman Singh,c,a,Wrong
68,Amoghvarsha was the ruler of:,a. Rashtrakuta Dynasty,b. Pallava Dynasty,c. Chandela Dynasty,d. Parmar Dynasty,a,a,Right
69,The mediterranean sea climate is characterized by:,a. Humid Summers and dry winters,b. Humid Summers and humid winters,c. Dry Summers and dry winters,d. Dry Summers and humid winters,d,d,Right
70,From where the ‘Sri Hind’ canal takes off?,a. At Okhla near Delhi,b. From fire-lake at Khadakwasla,c. From Gomati a Banbanse,d. From Satlaj at Ruper,d,c,Wrong
71,The leaves of the plants of desert forests are:,a. Pointed in shape,b. Small-sized and thorny,c. Long,d. Broad,b,b,Right
72,River which flows from east to west:,a. Mahanadi,b. Godavari,c. Narmada,d. Brahmaputra,c,d,Wrong
73,The youngest folded mountain in India is:,a. Vindhyan,b. Aravallis,c. Nilgiris,d. Shiwalik,d,b,Wrong
74,Concept of the independent justice system in Indian constitution is abstracted from where:,a. America (U.S.A.),b. South Africa,c. Britain,d. France,a,c,Wrong
75,What is the nature of Income Tax in India?,a. Proportional,b. Progressive,c. Regressive,d. None of the above,b,b,Right
76,When was the consumer protection act enacted?,a. 1980,b. 1985,c. 1986,d. 1991,c,c,Right
77,Who determines price under perfect competition:,a. Representative firm,b. Industry,c. Normal firm,d. Government,o,a,Wrong
78,Choose the word from the following alternatives which cannot be made with the letters of the given word:,a. COMPRISE,b. PENSION,c. ONION,d. PREACH,d,d,Right
79,In a code language CENTRAL is written as LARTNEC then in that language what will be written for SEMINAR?,a. NARMES,b. MESIRAN,c. RANIMES,d. NARISEM,c,b. MESIRAN,Wrong
80,"By using the letters of the word ‘AIPR’ only once, how many meaningful English words can be made?",a. One,b. Two,c. Three,d. Four,a,b,Wrong
81,By using the letters of ‘ADER’ only once how many meaningful English words can be made?,a. One,b. Two,c. Three,d. Four,c,c,Right
82,"If in a code language HANUMAN is written as MFSZRFS, then what will BINAY be written in that code language",a. GSNTD,b. GNSFD,c. GSNDT,d. GNSDT,b,c,Wrong
83,"If in a code language MOTHER is written as OQVJGT, then what way SISTER will be written?",a. CJUVGT,b. TJTUFS,c. TJTUES,d. UKUVGT,d,CJUVGT,Wrong
84,"In a symbolic language POCKET is written as QNDJFS, then in that language what will DEAR be written?",a. EDBQ,b. CFBQ,c. EDCQ,d. EFDQ,a,d,Wrong
85,As ‘Warrior’ IS RELATED TO ‘battlefield’ in the same way to what is ‘steward’ RELATED?,a. Shop,b. Restaurant,c. Stage,d. Garage,b,c,Wrong
86,"As’ white pigeon’ is related to ‘peace’, in the same way ‘black colour’ is related to which of the following?",a. Hospital,b. Power,c. Sorrow,d. Bravery,b,c,Wrong
87,"As ‘Chicago’ is related to America, in the same way ‘Sydney’ is related to",a. Egypt,b. Australia,c. India,d. England,b,b,Right
88,"As the ‘Publisher’ is related to ‘Book’, in the same way ‘Film is related to",a. Director,b. Actor,c. Producer,d. Hero,c,c,Right
89,Rohu : Fish : : Bat 😕,a. Amphibian,b. Reptile,c. Mammal,d. Aquatic,c,c,Right
90,Thermometer : Temperature : : Lactometer 😕,a. Purity of curd,b. Purity of milk,c. Purity of water,d. Atmospheric pressure,b,b,Right
91,"Shyam is the son of Ram and maternal brother of Jadu, then how is Ram related to Jadu?",a. Paternal uncle,b. Maternal uncle,c. Father,d. Maternal grandfather,b,b,Right
92,"In a marriage reception, pointing to a lady a man said, ‘That lady is the only daughter of the father-in-law of my eldest brother’  What is the relation of that man with the lady?",a. Husband’s younger brother,b. Brother,c. Nephew,d. Father,a,c,Wrong
93,B is the sister of A and C is the mother of B  How is C related to A?,a. Mother,b. Father,c. Maternal aunt,d. Maternal grandmother,a,d,Wrong
94,"10J, 13M, 17Q, 20T, _______",a. 24X,b. 25Y,c. 26Z,d. 23V,a,c. 26Z,Wrong
95,If in a code language LPPHGLDWH is written as IMMEDIATE then WRSVHFUHW will be written as,a. YUVKIXKY,b. FAITHFUL,c. TOPSBRASS,d. TOPSECRET,d,d,Right
96,"If in a code language SISTER is written as 535301, UNCLE is written as 84670 and BOY is written as 129 then in that language SON will be written as",a. 923,b. 524,c. 342,d. 872,b,872,Wrong
97,"If in a code language 5234 is written for RING and 6109 for FAST, then in that language 095234 will be written for",a. STRING,b. NGRIST,c. STRINIG,d. STRIGN,a,c,Wrong
98,"Rita is taller than Neeta but shorter than Sita, Sita is shorter than Gita then who is the tallest among them?",a. Rita,b. Neeta,c. Sita,d. Gita,d,d,Right
99,In the way ‘horse’ is related to ‘run’ in the same way ‘bird’ is related to,a. Move,b. Run,c. Crawl,d. Fly,d,d,Right
100,"In the way ‘voltmeter’ is related to ‘potential difference’, in the same way ‘Ammeter’ is related to",a. Rain,b. Earthquake,c. Electric current,d. Temperature,c,c,Right
101,In the way ‘Indonesia’ is related to ‘Jakarta’ in the same way ‘Nepal’ is related to,a. Melbourne,b. Dhaka,c. Kathmandu,d. Islamabad,c,c,Right
102,"In the way India is related to Ashok Chakra, the same way Sri Lanka is related to",a. Lily,b. Lion and sword,c. Moon and star,d. Red star,b,b,Right
103,In the way ‘Hockey’ is related to ‘India’ in the same way ‘Spain’ is related to,a. Baseball,b. Bull fight,c. Football,d. Ice Hockey,c,b,Wrong
104,"In the way, ‘Santhal’ is related to ‘India’, in the same way, ‘Negro’ is related to",a. Japan,b. Germany,"c. Africa, America",d. Nepal,c,c,Right
105,"In the way ‘Red Fort’ is related to Delhi, in the same way ‘Pyramid’ is related to",a. New York,b. Egypt,c. London,d. Berlin,b,b,Right
106,"In the way the poet is related to the poem, in the same way, ornaments are related to",a. Goldsmith,b. Cobbler,c. Carpenter,d. Dance director,a,c,Wrong
107,"In the way, ‘area’ is related to ‘hectare’, the same way ‘radian’ is related to",a. Heat,b. Potential,c. Resistance,d. Angle,d,d,Right
108,"The relation that exists between ABC and ZYX, the same relation will exist between CBA and",a. ZXY,b. BCA,c. XYZ,d. XZY,c,c,Right
109,Statue of Liberty : USA : : Eiffel Tower : ?,a. New Zealand,b. France,c. Indonesia,d. Japan,b,b,Right
110,"In the way, Palaeontology is related to Fossil in the same way Pedology is related to",a. Blood,b. Plants,c. Soil,d. Tissue,c,c,Right
111,"In the way, White Pigeon is related to peace, the same way Swastik is related to",a. Good Luck,b. Prosperity,c. Civilization and culture,d. Danger,a,b,Wrong
112,"Regarding Ajit, Neelam tells her friend that ‘He is the only son of grandfather of my own brother’, then how is Neelam related to Ajit?",a. Maternal aunt,b. Sister,c. Daughter,d. Paternal aunt,c,c,Right
113,"Navin, the son of a photographer who is a resident of Nagpur says to Urmila that Prabhat, who is staying in Delhi, is the eldest son the father of Samir  If the mother of Samir is the wife of Navin, then what is the relation Prabhat has with Navin?",a. Son,b. Brother,c. Nephew (Sister’s son),d. Nephew (brother’s son),a,b,Wrong
114,"A man walks 12 km towards the north  After this, he walks 5 km towards west then how far is he now from his starting point?",a. 22 km,b. 17 km,c. 5 km,d. 13 km,d,b,Wrong
115,Pointing to a lady Vijay says that “She is the only sister of my brother-in-law”  How is the lady related to Vijay?,a. Daughter,b. Wife,c. Sister,d. Sister-in-law,b,d,Wrong
116,"Pointing to a man in a picture a women said, The father of his brother is the only son of my mother’  How is the man related to that woman?",a. Grandson,b. Nephew (Brother’s son),c. Son,d. Brother,b,c,Wrong
117,"At the time of sunrise, a boy was doing exercise by keeping his head down and legs up in the ground  If his left hand is toward the east, then in which direction is his face?",a. North,b. South,c. West,d. None of these,a,a,Right
118,Facing towards north Rana walked 30 m  Then he turned left and walked 50 m  Again he turned left and walked 30 m  Now how far is Rana from his starting place?,a. 80 m,b. 60 m,c. 20 m,d. 50 m,d,a. 80 m,Wrong
119,"Bablu started to walk from point A  After moving 12 m towards north he turned right and moved 10 m  Again he turned right and walked 12 m, then turning left walked 5 m  So far what distance has he travelled and in which direction is he?","a. 40 m, west","b. 29 m, south","c. 39 m, east","d. 35 m, north",c,b,Wrong
120,"One day before sunset, Vandana and Chandan were talking with each other face to face standing in a chawk  If the shadow of Vandana falls on the right side of her then in which direction was Chanadan facing?",a. South-east,b. South,c. North,d. West,b,b,Right
121,One morning after sunrise Atul and Rashmi were talking with each other standing face to face  If the shadow of Rashmi falls on the left side of Atul then in which direction Atul was facing?,a. North,b. South,c. East,d. West,a,b,Wrong
122,"Harish is taller than Sameer but shorter than Ambuj  Sumit is shorter than Vishal, Ambuj is shorter than Sumit  If all of them are made standing in increasing order (ascending order) of their heights, then who will stand at the end?",a. Harish,b. Ambuj,c. Sumit,d. Vishal,d,d,Right
123,If the age of Manohar is greater than that of Ankit and the age of Saroj is not greater than Ankit then whose age among the three is greater?,a. Saroj,b. Ankit,c. Manohar,d. Cannot be decided,c,c,Right
124,"On a table, the books of Physics, Mathematics, English and Hindi are arranged in such a way that the book of Hindi is just above the book of English and the book of Mathematics is just below that book of Physics  If the book of Physics is just kept below the book of English then which book is kept bottom-most?",a. Physics,b. English,c. Mathematics,d. Hindi,c,c,Right
125,Who is not seated at either right or left of Dinesh?,a. Vikas,b. Akram,c. Akram or Vikas,d. Karan,d,d,Right
126,Which of the following names will come second in the telephone directory?,a. Raman,b. Rana,c. Rahul,d. Rajan,d,b,Wrong
127,Which book is at bottommost?,a. Computer,b. History,c. Civics,d. Physics,d,d,Right
128,"The image formed by a concave mirror is observed to be virtual, erect and larger than the object  Where should be the position of the object?",a. Between the principal focus and the centre of curvature,b. At the centre of curvature,c. Beyond the centre of curvature,d. Between the pole of the mirror and its principal focus,d,d,Right
129,The change in focal length of an eye lens is caused by the action of the,a. Pupil,b. Retina,c. Ciliary muscles,d. Iris,c,c,Right
130,"At the time of short circuit, the current in the circuit",a. Reduces substantially,b. Does not change,c. Increases heavily,d. Vary continuously,c,c,Right
131,"Three resistance of 4Ω, 5Ω and 20Ω are connected in parallel  Their combined resistance is",a. 2 Ω,b. 4 Ω,c. 5 Ω,d. 29 Ω,a,d,Wrong
132,The electrical appliances in the houses are connected with each other in,a. Parallel,b. Series,c. A combination of series and parallel circuits,d. None of these,a,c,Wrong
133,SI unit of magnetic field is,a. Ampere,b. Henry,c. Tesla,d. Ohm,c,c,Right
134,The direction of induced current in a circuit is given by,a. Fleming’s left hand rule,b. Fleming’s right hand rule,c. Right hand thumb rule,d. Ampere’s swimming rule,b,a,Wrong
135,"No current flows between two charged bodies when connected, if they have same",a. Capacity,b. Potential,c. Charge,d. None of these,b,b,Right
136,The magnetic effect of electric current was discovered by,a. Faraday,b. Henry,c. Oersted,d. Maxwell,c,c,Right
137,The phenomenon of electromagnetic induction is,a. The process of charging a body,b. The process of generating magnetic field due to a current passing through a coil,c. The process of producing induced current in a coil due to relative motion between a magnet and the coil,d. The process of rotating a coil of an electric motor,c,c,Right
138,The human eye forms the image of an object at its,a. Cornea,b. iris,c. Pupil,d. Retina,d,d,Right
139,Select the organic acid from the following:,a. Hydrochloric acid,b. Nitric acid,c. Sulphuric acid,d. Citric acid,n,d,Wrong
140,"A solution turns red litmus blue, its pH is likely to be",a. 1,b. 2,c. 5,d. 10,d,c,Wrong
141,Tooth enamel contains,a. Calcium carbonate,b. Calcium sulphate,c. Calcium chloride,d. Calcium phosphate,d,d,Right
142,Which one of the following compounds is not an ionic compound,a. Sodium chloride,b. Calcium chloride,c. Carbon tetrachloride,d. Magnesium chloride,c,c,Right
143,Question 20 Butanone is a four-carbon compound with the functional group,a. Carboxylic acid,b. Aldehyde,c. Ketones,d. Alcohol,c,c,Right
144,"Ethane, with the molecular formula C2H6 has",a. 6 covalent bond,b. 7 covalent bond,c. 8 covalent bonds,d. 9 covalent bonds,b,c,Wrong
145,Choose the metalloid from the following elements,a. Boron,b. Sodium,c. Chlorine,d. Aluminium,a,c,Wrong
146,"Na, Mg, Al and S belong to the 3rd period of the periodic table  Out of these acidic oxide is formed by",a. Na,b. Mg,c. Al,d. S,d,c,Wrong
147,Which of the following compounds is used to repair fractured bone?,a. Na2CO3,b. CaOCl2,c. CaSO4.½ H2O,d. CaSO4.5H2O,c,c,Right
148,How many groups are there in the modern periodic table?,a. 7,b. 13,c. 18,d. 20,c,b,Wrong
149,Pure gold is,a. 18 carat,b. 20 carat,c. 22 carat,d. 24 carat,d,d,Right
150,The gap between two neurons is called,"a. Dendrite
b. Synapse
c. axon
d. impulse

Answer: (b)
The gap between two neurons is known as a synapse. It facilitates the transmission of information from one neuron to the other.",b. Synapse,c. axon,d. impulse,b,b,Right
151,The xylem in plants is responsible for,a. Transport of water,b. Transport of food,c. Transport of amino acids,d. Transport of oxygen,a,a,Right
152,Which plant hormone causes bending of shoots towards light?,a. Auxins,b. Gibberellin,c. Cytokinin,d. Abscisic acid,a,a,Right
153,Which of the following plant hormones causes wilting of leaves,a. Gibberellin,b. Cytokinin,c. Auxin,d. Abscisic acid,d,d,Right
154,Human growth hormone is produced in,a. Thyroid,b. adrenal,c. pancreas,d. Pituitary,d,d,Right
155,Insulin is produced by,a. Pituitary,b. pancreas,c. Thyroid,d. adrenal,b,b,Right
156,The example of a unisexual flower is,a. Hibiscus,b. Mustard,c. Papaya,d. None of these,c,b,Wrong
157,The transfer of pollen grains from the anther to stigma is termed as,a. Fertilisation,b. Pollination,c. Ovulation,d. Double fertilisation,b,b,Right
158,Fat is digested by the enzyme,a. Amylase,b. Pepsin,c. Trypsin,c. Lipase,d,c,Wrong
159,Genetic material is carried out by a long chain of molecules made up of,a. Enzymes,b. DNA,c. Amino acids,d. Protein,b,b,Right
160,Who proposed the law of inheritance,a. Darwin,b. Mendel,c. Lamarck,d. Morgan,b,b,Right
161,Changes in the non-reproductive tissues caused by environmental factors,a. Are inheritable,b. Are not inheritable,c. Both 1 and 2,d. None of these,b,b,Right
162,"In a right triangle ABC, AB = 6√3 cm, BC = 6 cm and AC = 12 cm  ∠A is given by",a. 90o,b. 45o,c. 30o,d. 60o,c,a,Wrong
163,"D and E are the mid-points of the sides AB and AC of  ∆ABC  If DE measures 3 cm, then the side BC measures",a. 6 cm,b. 7 cm,c. 8 cm,d. 9 cm,a,c,Wrong
164,"The tenth term from the end of the A P  4, 9, 14,……, 254 is",a. 214,b. 209,c. 208,d. 204,b,204,Wrong
165,"Two vertices of a triangle are (3, 5) and (-4, -5)  If the centroid of the triangle is (4, 3), find the third vertex","a. 13, 9","b. 9, 13","c. 13, -9","d. -9, -13",a,c,Wrong
166,A square is circumscribing a circle  The side of the square is 14 cm  Find the area of the square not included in the circle,a. 21 cm2,b. 42 cm2,c. 48 cm2,d. 196 cm2,b,c,Wrong
167,"If the angles of elevation of the top of a tower from two points at the distances of 3 m and 12 m from the base of the tower in the same straight line with it are complementary, then the height of the tower (in m) is",a. 36,b. 60,c. 6,d. 100,c,c,Right
168,"The surface area of two spheres is in the ratio 1 : 4  Then, the ratio of their volumes is",a. 1 : 4,b. 1 : 8,c. 1 : 16,d. 1 : 64,b,1 : 64,Wrong
169,Half of which number is 18 more than its one fifth (⅕ th)?,a. 48,b. 52,c. 60,d. 64,c,b,Wrong
170,Sum of two numbers is 25 and their product is 154  The greater number is,a. 11,b. 12,c. 13,d. 14,d,c,Wrong
171,"If A and B together can complete a work in 12 days and B and C can complete it in 15 days and C and A can complete in 20 days, then in how many days can A alone complete the said work?",a. 20 days,b. 30 days,c. 40 days,d. 60 days,b,c. 40 days,Wrong
172,The diagonals of a rhombus are 15 m and 20 m long  Find its area,a. 150 m2,b. 300 m2,c. 450m2,d. None of these,a,b,Wrong
173,If the measure of each interior angle of a regular polygon is 135o then the number of its sides is,a. 5,b. 6,c. 7,d. 8,d,c,Wrong
174,"The lengths of parallel sides of a trapezium are 60 m and 80 m respectively  If the distance of its parallel sides is 20 m, find the area of the trapezium",a. 1200 m2,b. 1400 m2,c. 1800 m2,d. 2400 m2,b,d,Wrong
175,Find the area of a parallelogram of which a diagonal measures 65 cm and of which two adjacent sides measure 70 cm and 75 cm respectively?,a. 4000 cm2,b. 4200 cm2,c. 4800 cm2,d. None of these,b,c,Wrong
176,Which of the following societies was founded by Giuseppe Mazzini?,a. Carbonari,b. Young Italy,c. Young Europe,d. Jacobin Club,b,b,Right
177,When did Ho Chi Minh form vietnamese Communist Party?,a. 1930,b. 1931,c. 1932,d. 1934,a,a,Right
178,In which famous battle were the French defeated?,a. Nghe An,b. Dien Bien Phu,c. Ha Tinh,d. Phan Boi,b,b,Right
179,The resolution of ‘Poorna Swaraj’ was adopted at which Congress session?,a. Karachi,b. Lucknow,c. Lahore,d. Haripur,c,d,Wrong
180,In which year did the “Great Depression” start?,a. 1928,b. 1936,c. 1929,d. 1981,c,c,Right
181,IMF stands for,a. Inland Maintenance Force,b. International Military Force,c. International Monetary Fund,d. Indian Monetary Factor,c,c,Right
