,Question,Option A,Option B,Option C,Option D,Correct Answer
58,"If ages of Mohan, Sohan and Rohan are in the ratio 2 : 3 : 4, ages of Sohan, Rohan and Tori are in the ratio 3 : 4 : 3 and if the present age of Mohan is 12 years, then how many years is the age of Tori?",a. 27,b. 24,c. 18,d. 16,(c)
60,"If for 30 animals 210 kg  grains are sufficient for 18 days, then for 24 animals 280 kg  grains are sufficient for how many days?",a. 28,b. 30,c. 35,d. 23 ¼,(b)
62,Half of one-fourth of one-third of a number is 8  Then what will be ⅜ of that number?,a. 35,b. 35,c. 70,d. 72,(d)
77,Four positions of a dice are shown below  How many dots are contained on the face opposite to that containing four dots?,a. 4,b. 1,c. 2,d. 3,(b)
79,A cube painted red on all of its faces is cut into 64 small cubes of equal size  How many small cubes are painted red on at least two faces ?,a. 4,b. 8,c. 32,d. 24,(c)
82,Two particles are placed at some distance from each other  Keeping the distance between them unchanged the mass of each particle is doubled then the value of gravitational force between them will be:,a. ¼ times,b. 4 times,c. ½ times,d. 2 times,(b)
84,The momentum of a bullet of mass 20 gram fired from a gun is 10 kg  meter/second  The kinetic energy of this bullet is:,a. 5 kilojoule,b. 1.5 kilojoule,c. 2.5 kilojoule,d. 25 kilojoules,(c)
86,An investigator team transmitted an ultrasound signal to the sea bed  The signal is received back in 4 seconds  If the speed of sound in seawater is 1500 meter/second then the depth of the sea is:,a. 3 km,b. 6 km,c. 4.5 km,d. 1.5 km,(a)
88,A conducting wire of resistance 4 R Ω is bent in the form of a circle what is the effective resistance between the ends of the diameter:,a. R Ω,b. 4 R Ω,c. 1/R Ω,d. 1/4R Ω,(a)
90,The time period of 500Hz wave will be:,a. 0.002 second,b. 0.02 second,c. 0.2 second,d. 2 second,(a)
92,The force exerted on a conductor placed in a uniform magnetic field is maximum when the angle between the magnetic field and conductor is:,a. 45o,b. 90o,c. 30o,d. 60o,(b)
94,"The refractive indices of four substances, A, B, C and D are respectively 1 50, 1 36, 1 70 and 1 31  Out of these substances which substance will have a maximum speed of light:",a. A,b. B,c. C,d. D,(d)
96,A convex lens of focal length 8cm  Forms a real image of the same size as the object  Then the distance between object and image will be:,a. 8 cm,b. 16 cm,c. 32 cm,d. 24 cm,(c)
98,According to Oersted’s experiment of the magnetic effect of electric current if wire kept parallel and above the magnetic needle and current is flowing from south to north direction then deflection of the north side of the magnetic needle is towards:,a. North,b. South,c. East,d. West,(d)
101,The ratio of displacement to the distance of a moving object it:,a. More than 1,b. Less than 1,c. Equal to or less than 1,d. Equal to or more than 1.,(c)
105,In molecular formula CH3 – CH = CH2 the number of single bonds are:,a. 9,b. 8,c. 7,d. 6,(c)
107,Acid in which both functional groups – OH and – COOH present is:,a. Tartaric acid,b. Ethanoic acid,c. Formic acid,d. Oxalic acid,(a)
109,Ionization energy increases from left to right across a period because:,a. Less energy is required to release electrons from the outer shell.,b. Nuclear attraction decreases on electrons,c. Nuclear attraction increases on electrons,d. Atomic size increases gradually.,(c)
112,Which of the following elements would lose an electron easily?,a. Na,b. CI,c. F,d. O,(a)
114,What would be the electronic configuration of a positively charged magnesium ion (Mg2+)?,"a. 2, 8, 2","b. 2, 8","c. 2, 8, 4","d. 2, 8, 8",(b)
116,Which one of the following metals does not corrode easily?,a. Iron,b. Copper,c. Magnesium,d. Platinum,(d)
118,The number of molecules present in 8 0 g of oxygen molecule will be:,a. 2.011 × 1023,b. 3.011 × 1023,c. 1.505 × 1023,d. 6.022 × 1023,(c)
120,Which of the following hydrocarbon contains a triple bond?,a. C3H4,b. C2H6,c. C3H6,d. C3H8,(a)
122,"In blast furnace, Fe2O3 is reduced to Fe by:",a. C,b. CO,c. SiO2,d. CaCO3,(b)
124,"The atomic number of four elements P, Q, R, and S are 6, 10, 12, and 17 respectively  Which two elements can combine to form a covalent compound:",a. P and R,b. Q and S,c. P and S,d. R and S,(c)
126,"The formula of aluminium nitride is AIN, then the formula of magnesium nitride will be:",a. MgN,b. MgN2,c. Mg3N2,d. Mg2N3,(c)
129,Lack of oxygen in muscles leads to the formation of this acid in the body:,a. Lactic Acid,b. Acetic Acid,c. Pyruvic Acid,d. Hydrochloric Acid,(a)
131,‘B’ and ‘T’ Cells are:,a. Erythrocytes,b. Lymphocytes,c. Plastocytes,d. Blastocytes,(b)
133,The Astronauts on the moon can not talk with each other because of:,a. Very low temperature on moon,b. Very much noise on moon,c. The atmosphere on moon,d. No atmosphere on the moon,(d)
135,Tuberculosis is:,a. Long term disease (chronic),b. Non-contagious disease,c. Acute disease,d. Urgent disease,(a)
137,In which category will you keep electronic wastes and plastics?,a. Non-biodegradable,b. Biodegradable,c. In both (a & b) Categories,d. Not in both (a & b) Categories,(a)
139,Hybridization method is adopted for:,a. Prevention of plants from pests,b. More production of eggs,c. Development of new irrigation methods,d. Development of species of desired characters,(d)
141,Main objective of family planning is:,a. Keep control on fertility rate,b. Proper gap between two child,c. Healthy mother and child,d. All of the above,(d)
143,‘World ozone day’ is celebrated on:,a. 01 December,b. 16 September,c. 07 April,d. 05 June,(b)
145,Which one of the following organism whose have characters of animal and plants both:,a. Euglena,b. Amoeba,c. Algae,d. Mushroom,(a)
147,Identify the unmatched pairs:,a. Trypsin – Pancreas,b. Amylase – Saliva,c. Bile – Liver,d. Pepsin – Esophagus,(d)
149,The wings of a housefly and the wings of a sparrow are an example of:,a. Analogous organ,b. Vestigial organ,c. Respiratory organ,d. Homologous organ,(a)
153,The brain is responsible for:,a. Thinking,b. Regulating the heartbeat,c. Balancing the body,d. All of the above,(d)
157,"If α and β are the zeros of the polynomial f(x) = x2 – 5x + k such that α – β =1, then the value of k is",a. 6,b. 2,c. 3,d. 0,(a)
159,The difference of the squares of two natural numbers is 101  The sum of their squares is equal to:,a. 5000,b. 5100,c. 5101,d. 5102,(c)
161,Prashant has to pay Rs  482 for 19 apples and 11 guavas  If he would have exchanged the number of apples and guavas purchased then he would have paid Rs  64 less  Find how much more amount he has to pay to purchase one apple than one guava?,a. Rs. 7,b. Rs. 8,c. Rs. 11,d. Rs. 13,(b)
164,"In a right angled triangle the hypotenuse is to be 1 cm longer than the base and 2 cm longer than the altitude, then the perimeter of the triangle is:",a. 24 cm,b. 20 cm,c. 12 cm,d. 10 cm,(c)
166,"If x% of y is equal to 1% of z, y% of z is equal to 1%, of x and z% of x is equal to 1% of y then the value of xy + yz + zx is:",a. 1,b. 2,c. 3,d. 4,(c)
168,A tower is 100 √3m high  The angle of elevation of its top from a point 100 m away from its foot is:,a. 60o,b. 45o,c. 30o,d. 22 ½ o,(a)
170,Two dice are thrown at the same time  Then the probability of getting the total of at least 8 is:,a. 5/6,b. 5/12,c. 5/18,d. 5/36,(b)
172,"If the coordinate of two opposite vertices of square are (a, b) and (b, a) then the area of the square is:",a. (a+b)2,b. 2(b+a)2,c. (a-b)2,d. 2(b-a)2,(c)
174,The ratio of the volume of the cube to that of a sphere which exactly fits inside the cube is:,a. 6 : 𝜋,b. 𝜋 : 6,c. 12 : 𝜋,d. 𝜋 : 12,(a)
176,If any polynomial f(x) is divided by (x2 – 16) then remainder is (5x + 3)  If it is divided by (x + 4) then the remainder will be:,a. 17,b. -17,c. 23,d. -23,(b)
178,12 workers can build a wall in 9 days working 8 hours per day  In how many days 24 workers can build that wall working 6 hours per day?,a. 24,b. 12,c. 9,d. 6,(d)
180,The ratio of medians of two similar triangles is 3 : 4  Then the ratio of their areas will be:,a. 4 : 3,b. 3 : 4,c. 16 : 9,d. 9 :16,(d)
183,"If 69 5 is the mean of 72, 70, x, 62, 50, 71, 90, 64, 58 and 82 then the value of x will be:",a. 70,b. 72,c. 74,d. 76,(d)
185,In the given figure ABC is a right angled triangle with AB = 12 cm and AC = 13 cm  A circle with center O has been inscribed inside the triangle  If the radius is r then the value of r will be:,a. 1 cm,b. 1.5 cm,c. 2 cm,d. 2.5 cm,(c)
190,When was the quit India movement?,a. 1930,b. 1935,c. 1942,d. 1943,(c)
192,Who is called Gandhi of Chhattisgarh?,a. Pt. Ravishankar Shukla,b. Veer Narayan Singh,c. Pt. Sundarlal Sharma,d. Hanuman Singh,(c)
194,Amoghvarsha was the ruler of:,a. Rashtrakuta Dynasty,b. Pallava Dynasty,c. Chandela Dynasty,d. Parmar Dynasty,(a)
197,The mediterranean sea climate is characterized by:,a. Humid Summers and dry winters,b. Humid Summers and humid winters,c. Dry Summers and dry winters,d. Dry Summers and humid winters,(d)
199,From where the ‘Sri Hind’ canal takes off?,a. At Okhla near Delhi,b. From fire-lake at Khadakwasla,c. From Gomati a Banbanse,d. From Satlaj at Ruper,(d)
201,The leaves of the plants of desert forests are:,a. Pointed in shape,b. Small-sized and thorny,c. Long,d. Broad,(b)
203,River which flows from east to west:,a. Mahanadi,b. Godavari,c. Narmada,d. Brahmaputra,(c)
206,The youngest folded mountain in India is:,a. Vindhyan,b. Aravallis,c. Nilgiris,d. Shiwalik,(d)
208,Concept of the independent justice system in Indian constitution is abstracted from where:,a. America (U.S.A.),b. South Africa,c. Britain,d. France,(a)
211,What is the nature of Income Tax in India?,a. Proportional,b. Progressive,c. Regressive,d. None of the above,(b)
213,When was the consumer protection act enacted?,a. 1980,b. 1985,c. 1986,d. 1991,(c)
215,Who determines price under perfect competition:,a. Representative firm,b. Industry,c. Normal firm,d. Government,Bonus
224,Choose the word from the following alternatives which cannot be made with the letters of the given word:,a. COMPRISE,b. PENSION,c. ONION,d. PREACH,(d)
227,In a code language CENTRAL is written as LARTNEC then in that language what will be written for SEMINAR?,a. NARMES,b. MESIRAN,c. RANIMES,d. NARISEM,(c)
229,"By using the letters of the word ‘AIPR’ only once, how many meaningful English words can be made?",a. One,b. Two,c. Three,d. Four,(a)
232,By using the letters of ‘ADER’ only once how many meaningful English words can be made?,a. One,b. Two,c. Three,d. Four,(c)
234,"If in a code language HANUMAN is written as MFSZRFS, then what will BINAY be written in that code language",a. GSNTD,b. GNSFD,c. GSNDT,d. GNSDT,(b)
236,"If in a code language MOTHER is written as OQVJGT, then what way SISTER will be written?",a. CJUVGT,b. TJTUFS,c. TJTUES,d. UKUVGT,(d)
239,"In a symbolic language POCKET is written as QNDJFS, then in that language what will DEAR be written?",a. EDBQ,b. CFBQ,c. EDCQ,d. EFDQ,(a)
242,As ‘Warrior’ IS RELATED TO ‘battlefield’ in the same way to what is ‘steward’ RELATED?,a. Shop,b. Restaurant,c. Stage,d. Garage,(b)
244,"As’ white pigeon’ is related to ‘peace’, in the same way ‘black colour’ is related to which of the following?",a. Hospital,b. Power,c. Sorrow,d. Bravery,(b)
246,"As ‘Chicago’ is related to America, in the same way ‘Sydney’ is related to",a. Egypt,b. Australia,c. India,d. England,(b)
248,"As the ‘Publisher’ is related to ‘Book’, in the same way ‘Film is related to",a. Director,b. Actor,c. Producer,d. Hero,(c)
252,Rohu : Fish : : Bat 😕,a. Amphibian,b. Reptile,c. Mammal,d. Aquatic,(c)
254,Thermometer : Temperature : : Lactometer 😕,a. Purity of curd,b. Purity of milk,c. Purity of water,d. Atmospheric pressure,(b)
256,"Shyam is the son of Ram and maternal brother of Jadu, then how is Ram related to Jadu?",a. Paternal uncle,b. Maternal uncle,c. Father,d. Maternal grandfather,(b)
258,"In a marriage reception, pointing to a lady a man said, ‘That lady is the only daughter of the father-in-law of my eldest brother’  What is the relation of that man with the lady?",a. Husband’s younger brother,b. Brother,c. Nephew,d. Father,(a)
261,B is the sister of A and C is the mother of B  How is C related to A?,a. Mother,b. Father,c. Maternal aunt,d. Maternal grandmother,(a)
265,"10J, 13M, 17Q, 20T, _______",a. 24X,b. 25Y,c. 26Z,d. 23V,(a)
267,If in a code language LPPHGLDWH is written as IMMEDIATE then WRSVHFUHW will be written as,a. YUVKIXKY,b. FAITHFUL,c. TOPSBRASS,d. TOPSECRET,(d)
270,"If in a code language SISTER is written as 535301, UNCLE is written as 84670 and BOY is written as 129 then in that language SON will be written as",a. 923,b. 524,c. 342,d. 872,(b)
272,"If in a code language 5234 is written for RING and 6109 for FAST, then in that language 095234 will be written for",a. STRING,b. NGRIST,c. STRINIG,d. STRIGN,(a)
274,"Rita is taller than Neeta but shorter than Sita, Sita is shorter than Gita then who is the tallest among them?",a. Rita,b. Neeta,c. Sita,d. Gita,(d)
277,In the way ‘horse’ is related to ‘run’ in the same way ‘bird’ is related to,a. Move,b. Run,c. Crawl,d. Fly,(d)
279,"In the way ‘voltmeter’ is related to ‘potential difference’, in the same way ‘Ammeter’ is related to",a. Rain,b. Earthquake,c. Electric current,d. Temperature,(c)
281,In the way ‘Indonesia’ is related to ‘Jakarta’ in the same way ‘Nepal’ is related to,a. Melbourne,b. Dhaka,c. Kathmandu,d. Islamabad,(c)
283,"In the way India is related to Ashok Chakra, the same way Sri Lanka is related to",a. Lily,b. Lion and sword,c. Moon and star,d. Red star,(b)
285,In the way ‘Hockey’ is related to ‘India’ in the same way ‘Spain’ is related to,a. Baseball,b. Bull fight,c. Football,d. Ice Hockey,(c)
287,"In the way, ‘Santhal’ is related to ‘India’, in the same way, ‘Negro’ is related to",a. Japan,b. Germany,"c. Africa, America",d. Nepal,(c)
289,"In the way ‘Red Fort’ is related to Delhi, in the same way ‘Pyramid’ is related to",a. New York,b. Egypt,c. London,d. Berlin,(b)
291,"In the way the poet is related to the poem, in the same way, ornaments are related to",a. Goldsmith,b. Cobbler,c. Carpenter,d. Dance director,(a)
293,"In the way, ‘area’ is related to ‘hectare’, the same way ‘radian’ is related to",a. Heat,b. Potential,c. Resistance,d. Angle,(d)
295,"The relation that exists between ABC and ZYX, the same relation will exist between CBA and",a. ZXY,b. BCA,c. XYZ,d. XZY,(c)
298,Statue of Liberty : USA : : Eiffel Tower : ?,a. New Zealand,b. France,c. Indonesia,d. Japan,(b)
300,"In the way, Palaeontology is related to Fossil in the same way Pedology is related to",a. Blood,b. Plants,c. Soil,d. Tissue,(c)
302,"In the way, White Pigeon is related to peace, the same way Swastik is related to",a. Good Luck,b. Prosperity,c. Civilization and culture,d. Danger,(a) or (b)
304,"Regarding Ajit, Neelam tells her friend that ‘He is the only son of grandfather of my own brother’, then how is Neelam related to Ajit?",a. Maternal aunt,b. Sister,c. Daughter,d. Paternal aunt,(c)
306,"Navin, the son of a photographer who is a resident of Nagpur says to Urmila that Prabhat, who is staying in Delhi, is the eldest son the father of Samir  If the mother of Samir is the wife of Navin, then what is the relation Prabhat has with Navin?",a. Son,b. Brother,c. Nephew (Sister’s son),d. Nephew (brother’s son),(a)
308,"A man walks 12 km towards the north  After this, he walks 5 km towards west then how far is he now from his starting point?",a. 22 km,b. 17 km,c. 5 km,d. 13 km,(d)
310,Pointing to a lady Vijay says that “She is the only sister of my brother-in-law”  How is the lady related to Vijay?,a. Daughter,b. Wife,c. Sister,d. Sister-in-law,(b)
312,"Pointing to a man in a picture a women said, The father of his brother is the only son of my mother’  How is the man related to that woman?",a. Grandson,b. Nephew (Brother’s son),c. Son,d. Brother,(b)
314,"At the time of sunrise, a boy was doing exercise by keeping his head down and legs up in the ground  If his left hand is toward the east, then in which direction is his face?",a. North,b. South,c. West,d. None of these,(a)
316,Facing towards north Rana walked 30 m  Then he turned left and walked 50 m  Again he turned left and walked 30 m  Now how far is Rana from his starting place?,a. 80 m,b. 60 m,c. 20 m,d. 50 m,(d)
318,"Bablu started to walk from point A  After moving 12 m towards north he turned right and moved 10 m  Again he turned right and walked 12 m, then turning left walked 5 m  So far what distance has he travelled and in which direction is he?","a. 40 m, west","b. 29 m, south","c. 39 m, east","d. 35 m, north",(c)
320,"One day before sunset, Vandana and Chandan were talking with each other face to face standing in a chawk  If the shadow of Vandana falls on the right side of her then in which direction was Chanadan facing?",a. South-east,b. South,c. North,d. West,(b)
322,One morning after sunrise Atul and Rashmi were talking with each other standing face to face  If the shadow of Rashmi falls on the left side of Atul then in which direction Atul was facing?,a. North,b. South,c. East,d. West,(a)
324,"Harish is taller than Sameer but shorter than Ambuj  Sumit is shorter than Vishal, Ambuj is shorter than Sumit  If all of them are made standing in increasing order (ascending order) of their heights, then who will stand at the end?",a. Harish,b. Ambuj,c. Sumit,d. Vishal,(d)
329,If the age of Manohar is greater than that of Ankit and the age of Saroj is not greater than Ankit then whose age among the three is greater?,a. Saroj,b. Ankit,c. Manohar,d. Cannot be decided,(c)
336,"On a table, the books of Physics, Mathematics, English and Hindi are arranged in such a way that the book of Hindi is just above the book of English and the book of Mathematics is just below that book of Physics  If the book of Physics is just kept below the book of English then which book is kept bottom-most?",a. Physics,b. English,c. Mathematics,d. Hindi,(c)
340,Who is not seated at either right or left of Dinesh?,a. Vikas,b. Akram,c. Akram or Vikas,d. Karan,(d)
343,Which of the following names will come second in the telephone directory?,a. Raman,b. Rana,c. Rahul,d. Rajan,(d)
347,Which book is at bottommost?,a. Computer,b. History,c. Civics,d. Physics,(d)
361,"The image formed by a concave mirror is observed to be virtual, erect and larger than the object  Where should be the position of the object?",a. Between the principal focus and the centre of curvature,b. At the centre of curvature,c. Beyond the centre of curvature,d. Between the pole of the mirror and its principal focus,(d)
363,The change in focal length of an eye lens is caused by the action of the,a. Pupil,b. Retina,c. Ciliary muscles,d. Iris,(c)
365,"At the time of short circuit, the current in the circuit",a. Reduces substantially,b. Does not change,c. Increases heavily,d. Vary continuously,(c)
367,"Three resistance of 4Ω, 5Ω and 20Ω are connected in parallel  Their combined resistance is",a. 2 Ω,b. 4 Ω,c. 5 Ω,d. 29 Ω,(a)
369,The electrical appliances in the houses are connected with each other in,a. Parallel,b. Series,c. A combination of series and parallel circuits,d. None of these,(a)
372,SI unit of magnetic field is,a. Ampere,b. Henry,c. Tesla,d. Ohm,(c)
374,The direction of induced current in a circuit is given by,a. Fleming’s left hand rule,b. Fleming’s right hand rule,c. Right hand thumb rule,d. Ampere’s swimming rule,(b)
376,"No current flows between two charged bodies when connected, if they have same",a. Capacity,b. Potential,c. Charge,d. None of these,(b)
378,The magnetic effect of electric current was discovered by,a. Faraday,b. Henry,c. Oersted,d. Maxwell,(c)
380,The phenomenon of electromagnetic induction is,a. The process of charging a body,b. The process of generating magnetic field due to a current passing through a coil,c. The process of producing induced current in a coil due to relative motion between a magnet and the coil,d. The process of rotating a coil of an electric motor,(c)
382,The human eye forms the image of an object at its,a. Cornea,b. iris,c. Pupil,d. Retina,(d)
386,Select the organic acid from the following:,a. Hydrochloric acid,b. Nitric acid,c. Sulphuric acid,d. Citric acid,Answer:(d)
388,"A solution turns red litmus blue, its pH is likely to be",a. 1,b. 2,c. 5,d. 10,(d)
390,Tooth enamel contains,a. Calcium carbonate,b. Calcium sulphate,c. Calcium chloride,d. Calcium phosphate,(d)
392,Which one of the following compounds is not an ionic compound,a. Sodium chloride,b. Calcium chloride,c. Carbon tetrachloride,d. Magnesium chloride,(c)
394,Question 20 Butanone is a four-carbon compound with the functional group,a. Carboxylic acid,b. Aldehyde,c. Ketones,d. Alcohol,(c)
396,"Ethane, with the molecular formula C2H6 has",a. 6 covalent bond,b. 7 covalent bond,c. 8 covalent bonds,d. 9 covalent bonds,(b)
398,Choose the metalloid from the following elements,a. Boron,b. Sodium,c. Chlorine,d. Aluminium,(a)
400,"Na, Mg, Al and S belong to the 3rd period of the periodic table  Out of these acidic oxide is formed by",a. Na,b. Mg,c. Al,d. S,(d)
402,Which of the following compounds is used to repair fractured bone?,a. Na2CO3,b. CaOCl2,c. CaSO4.½ H2O,d. CaSO4.5H2O,(c)
404,How many groups are there in the modern periodic table?,a. 7,b. 13,c. 18,d. 20,(c)
406,Pure gold is,a. 18 carat,b. 20 carat,c. 22 carat,d. 24 carat,(d)
409,The gap between two neurons is called,"a. Dendrite
b. Synapse
c. axon
d. impulse

Answer: (b)
The gap between two neurons is known as a synapse. It facilitates the transmission of information from one neuron to the other.",b. Synapse,c. axon,d. impulse,(b)
412,The xylem in plants is responsible for,a. Transport of water,b. Transport of food,c. Transport of amino acids,d. Transport of oxygen,(a)
414,Which plant hormone causes bending of shoots towards light?,a. Auxins,b. Gibberellin,c. Cytokinin,d. Abscisic acid,(a)
416,Which of the following plant hormones causes wilting of leaves,a. Gibberellin,b. Cytokinin,c. Auxin,d. Abscisic acid,(d)
418,Human growth hormone is produced in,a. Thyroid,b. adrenal,c. pancreas,d. Pituitary,(d)
420,Insulin is produced by,a. Pituitary,b. pancreas,c. Thyroid,d. adrenal,(b)
422,The example of a unisexual flower is,a. Hibiscus,b. Mustard,c. Papaya,d. None of these,(c)
424,The transfer of pollen grains from the anther to stigma is termed as,a. Fertilisation,b. Pollination,c. Ovulation,d. Double fertilisation,(b)
426,Fat is digested by the enzyme,a. Amylase,b. Pepsin,c. Trypsin,c. Lipase,(d)
428,Genetic material is carried out by a long chain of molecules made up of,a. Enzymes,b. DNA,c. Amino acids,d. Protein,(b)
430,Who proposed the law of inheritance,a. Darwin,b. Mendel,c. Lamarck,d. Morgan,(b)
432,Changes in the non-reproductive tissues caused by environmental factors,a. Are inheritable,b. Are not inheritable,c. Both 1 and 2,d. None of these,(b)
436,"In a right triangle ABC, AB = 6√3 cm, BC = 6 cm and AC = 12 cm  ∠A is given by",a. 90o,b. 45o,c. 30o,d. 60o,(c)
438,"D and E are the mid-points of the sides AB and AC of  ∆ABC  If DE measures 3 cm, then the side BC measures",a. 6 cm,b. 7 cm,c. 8 cm,d. 9 cm,(a)
441,"The tenth term from the end of the A P  4, 9, 14,……, 254 is",a. 214,b. 209,c. 208,d. 204,(b)
443,"Two vertices of a triangle are (3, 5) and (-4, -5)  If the centroid of the triangle is (4, 3), find the third vertex","a. 13, 9","b. 9, 13","c. 13, -9","d. -9, -13",(a)
446,A square is circumscribing a circle  The side of the square is 14 cm  Find the area of the square not included in the circle,a. 21 cm2,b. 42 cm2,c. 48 cm2,d. 196 cm2,(b)
448,"If the angles of elevation of the top of a tower from two points at the distances of 3 m and 12 m from the base of the tower in the same straight line with it are complementary, then the height of the tower (in m) is",a. 36,b. 60,c. 6,d. 100,(c)
450,"The surface area of two spheres is in the ratio 1 : 4  Then, the ratio of their volumes is",a. 1 : 4,b. 1 : 8,c. 1 : 16,d. 1 : 64,(b)
453,Half of which number is 18 more than its one fifth (⅕ th)?,a. 48,b. 52,c. 60,d. 64,(c)
455,Sum of two numbers is 25 and their product is 154  The greater number is,a. 11,b. 12,c. 13,d. 14,(d)
457,"If A and B together can complete a work in 12 days and B and C can complete it in 15 days and C and A can complete in 20 days, then in how many days can A alone complete the said work?",a. 20 days,b. 30 days,c. 40 days,d. 60 days,(b)
459,The diagonals of a rhombus are 15 m and 20 m long  Find its area,a. 150 m2,b. 300 m2,c. 450m2,d. None of these,(a)
462,If the measure of each interior angle of a regular polygon is 135o then the number of its sides is,a. 5,b. 6,c. 7,d. 8,(d)
464,"The lengths of parallel sides of a trapezium are 60 m and 80 m respectively  If the distance of its parallel sides is 20 m, find the area of the trapezium",a. 1200 m2,b. 1400 m2,c. 1800 m2,d. 2400 m2,(b)
466,Find the area of a parallelogram of which a diagonal measures 65 cm and of which two adjacent sides measure 70 cm and 75 cm respectively?,a. 4000 cm2,b. 4200 cm2,c. 4800 cm2,d. None of these,(b)
469,Which of the following societies was founded by Giuseppe Mazzini?,a. Carbonari,b. Young Italy,c. Young Europe,d. Jacobin Club,(b) or (c)
471,When did Ho Chi Minh form vietnamese Communist Party?,a. 1930,b. 1931,c. 1932,d. 1934,(a)
473,In which famous battle were the French defeated?,a. Nghe An,b. Dien Bien Phu,c. Ha Tinh,d. Phan Boi,(b)
475,The resolution of ‘Poorna Swaraj’ was adopted at which Congress session?,a. Karachi,b. Lucknow,c. Lahore,d. Haripur,(c)
477,In which year did the “Great Depression” start?,a. 1928,b. 1936,c. 1929,d. 1981,(c)
479,IMF stands for,a. Inland Maintenance Force,b. International Military Force,c. International Monetary Fund,d. Indian Monetary Factor,(c)
481,The first printing press was developed by,a. Marco Polo,b. Kitagawa Utamaro,c. Johannes Gutenberg,d. Erasmus,(c)
483,Who among the following was the leader of Dalits?,a. Dr. B.R. Ambedkar,b. Jyotiba Phule,c. Mahatma Gandhi,d. Sitaram Raju,(a)
486,Which of the following novels was too moralising?,a. Chandrakanta,b. Pariksha Guru,c. Padmarag,d. Indulekha,(b)
488,Which European power first acquired control over Bombay?,a. Dutch,b. English,c. French,d. Portuguese,(d)
490,Who among the following was known as ‘Frontier Gandhi’?,a. Mahatma Gandhi,b. Jawaharlal Nehru,c. Abdul Gaffar Khan,d. Bhagat Singh,(c)
492,Which of the following did not take part in World War I?,a. England,b. Spain,c. Germany,d. France,(b)
494,Who among the following set up the first jute Mill in Calcutta?,a. Dinshaw Petit,b. J N Tata,c. Seth Hukumchand,d. Dwarakanath Tagore,(c)
497,Which one of the following is the main cause of land degradation in Punjab?,a. Intensive cultivation,b. Over-irrigation,c. Deforestation,d. Overgrazing,(b)
499,Regions of ______ soils are intensively cultivated and densely populated,a. Balck,b. Red and yellow,c. Laterite,d. Alluvial,(d)
501,Cropping season from November to May is called,a. Kharif,b. Rabi,c. Zaid,d. None of these,(b)
503,“Temples of Modern India” Was the name given to dams by,a. Pt Jawaharlal Nehru,b. Mahatma Gandhi,c. Rabindranath Tagore,d. Subhas Chandra Bose,(a)
505,Which one of the following describes a system of agriculture where a single crop is grown on a large area?,a. Shifting Agriculture,b. Horticulture,c. Plantation Agriculture,d. Intensive Agriculture,(c)
